timestamp,cpu,memory,disk,top5_processes
2025-04-07 21:08:12,38.30,74.35,95.28,"AsusSoftwareManager.exe (PID: 4576) - 0.00% | svchost.exe (PID: 5348) - 0.00% | Idle (PID: 0) - 0.00% | dasHost.exe (PID: 2808) - 0.00% | svchost.exe (PID: 6212) - 0.00%"
2025-04-07 21:09:28,40.41,74.00,95.28,"ICEsoundService64.exe (PID: 4484) - 0.00% | fontdrvhost.exe (PID: 13068) - 0.00% | chrome.exe (PID: 13496) - 0.00% | dllhost.exe (PID: 5144) - 0.00% | TextInputHost.exe (PID: 8584) - 0.00%"
2025-04-07 21:12:16,50.38,76.25,95.28,"
Visualizador-Metricas-Sistema.exe (PID: 17500) - 50.00% | 
OfficeClickToRun.exe (PID: 3348) - 0.00% | 
notepad++.exe (PID: 14764) - 0.00% | 
svchost.exe (PID: 3300) - 0.00% | 
svchost.exe (PID: 7352) - 0.00%"
2025-04-07 21:13:04,42.42,75.50,95.28,"
Visualizador-Metricas-Sistema.exe (PID: 13140) - 133.33% | 
RtkBtManServ.exe (PID: 5540) - 0.00% | 
WmiPrvSE.exe (PID: 5832) - 0.00% | 
Microsoft.SharePoint.exe (PID: 3624) - 0.00% | 
ApplicationFrameHost.exe (PID: 9068) - 0.00%"
2025-04-07 21:13:09,26.15,75.52,95.28,"
Code.exe (PID: 15464) - 15.54% | 
Code.exe (PID: 12396) - 6.53% | 
Taskmgr.exe (PID: 5548) - 4.66% | 
Code.exe (PID: 12300) - 2.80% | 
Code.exe (PID: 4344) - 1.24%"
2025-04-07 21:13:14,15.46,75.51,95.28,"
chrome.exe (PID: 14824) - 8.41% | 
Taskmgr.exe (PID: 5548) - 2.49% | 
Code.exe (PID: 4344) - 1.56% | 
Code.exe (PID: 15464) - 1.56% | 
Code.exe (PID: 12396) - 0.93%"
2025-04-07 21:13:19,9.32,75.36,95.28,"
Taskmgr.exe (PID: 5548) - 2.80% | 
notepad++.exe (PID: 14764) - 0.62% | 
Code.exe (PID: 11504) - 0.62% | 
Code.exe (PID: 12396) - 0.31% | 
TranslucentTB.exe (PID: 14716) - 0.31%"
2025-04-07 21:13:24,10.02,75.06,95.28,"
Taskmgr.exe (PID: 5548) - 4.67% | 
Code.exe (PID: 15464) - 1.25% | 
chrome.exe (PID: 3632) - 0.93% | 
Microsoft.SharePoint.exe (PID: 3624) - 0.31% | 
Code.exe (PID: 12396) - 0.31%"
2025-04-07 21:13:29,10.28,75.08,95.28,"
Taskmgr.exe (PID: 5548) - 1.87% | 
Code.exe (PID: 15464) - 1.25% | 
chrome.exe (PID: 3632) - 0.93% | 
notepad++.exe (PID: 14764) - 0.62% | 
Code.exe (PID: 4344) - 0.62%"
2025-04-07 21:13:34,11.21,75.11,95.28,"
Taskmgr.exe (PID: 5548) - 1.87% | 
Code.exe (PID: 12396) - 1.56% | 
Code.exe (PID: 15464) - 1.56% | 
chrome.exe (PID: 5236) - 0.93% | 
chrome.exe (PID: 8312) - 0.31%"
2025-04-07 21:13:39,9.48,75.12,95.28,"
Taskmgr.exe (PID: 5548) - 2.80% | 
Code.exe (PID: 15464) - 1.25% | 
Code.exe (PID: 12396) - 0.93% | 
Code.exe (PID: 11504) - 0.62% | 
chrome.exe (PID: 7932) - 0.31%"
2025-04-07 21:13:44,15.02,75.15,95.28,"
Code.exe (PID: 15464) - 4.67% | 
Taskmgr.exe (PID: 5548) - 3.74% | 
Code.exe (PID: 12300) - 3.12% | 
Code.exe (PID: 12396) - 2.18% | 
Code.exe (PID: 4344) - 0.62%"
2025-04-07 21:13:49,17.89,75.28,95.28,"
Code.exe (PID: 15464) - 12.45% | 
Taskmgr.exe (PID: 5548) - 5.29% | 
Code.exe (PID: 12396) - 1.87% | 
Code.exe (PID: 12300) - 1.25% | 
Code.exe (PID: 4344) - 0.62%"
2025-04-07 21:13:54,14.07,75.26,95.28,"
Taskmgr.exe (PID: 5548) - 5.61% | 
Code.exe (PID: 15464) - 3.43% | 
Code.exe (PID: 12396) - 2.18% | 
Code.exe (PID: 12300) - 1.25% | 
Microsoft.SharePoint.exe (PID: 3624) - 0.31%"
2025-04-07 21:13:59,26.40,75.20,95.28,"
Code.exe (PID: 15464) - 14.33% | 
Code.exe (PID: 12396) - 5.30% | 
Code.exe (PID: 12300) - 4.36% | 
Taskmgr.exe (PID: 5548) - 2.49% | 
Code.exe (PID: 4344) - 0.93%"
2025-04-07 21:14:04,23.09,75.33,95.28,"
Code.exe (PID: 15464) - 12.15% | 
Code.exe (PID: 12300) - 6.23% | 
Taskmgr.exe (PID: 5548) - 4.36% | 
Code.exe (PID: 12396) - 3.74% | 
Code.exe (PID: 4344) - 1.25%"
2025-04-07 21:14:09,11.63,75.21,95.28,"
Code.exe (PID: 15464) - 9.66% | 
Taskmgr.exe (PID: 5548) - 2.49% | 
Code.exe (PID: 12300) - 0.93% | 
Code.exe (PID: 11504) - 0.62% | 
Code.exe (PID: 12396) - 0.31%"
2025-04-07 21:14:14,19.91,75.33,95.28,"
Code.exe (PID: 15464) - 16.82% | 
Code.exe (PID: 12300) - 4.36% | 
Taskmgr.exe (PID: 5548) - 3.11% | 
Code.exe (PID: 12396) - 2.80% | 
Code.exe (PID: 4344) - 1.25%"
2025-04-07 21:14:19,9.37,75.27,95.28,"
Taskmgr.exe (PID: 5548) - 4.36% | 
Code.exe (PID: 4344) - 2.18% | 
Code.exe (PID: 15464) - 1.24% | 
Visualizador-Metricas-Sistema.exe (PID: 13140) - 0.31% | 
Code.exe (PID: 12396) - 0.31%"
2025-04-07 21:14:24,8.85,75.11,95.28,"
Taskmgr.exe (PID: 5548) - 4.36% | 
Code.exe (PID: 11504) - 0.62% | 
explorer.exe (PID: 11268) - 0.62% | 
Code.exe (PID: 4344) - 0.31% | 
Visualizador-Metricas-Sistema.exe (PID: 13140) - 0.31%"
2025-04-07 21:14:29,20.57,76.23,95.28,"
Taskmgr.exe (PID: 5548) - 4.05% | 
Code.exe (PID: 15464) - 3.43% | 
chrome.exe (PID: 10672) - 1.87% | 
chrome.exe (PID: 3632) - 1.87% | 
explorer.exe (PID: 11268) - 1.87%"
2025-04-07 21:14:34,8.74,75.83,95.28,"
Taskmgr.exe (PID: 5548) - 3.11% | 
chrome.exe (PID: 10672) - 1.87% | 
chrome.exe (PID: 11352) - 0.93% | 
notepad++.exe (PID: 14764) - 0.62% | 
Code.exe (PID: 12396) - 0.31%"
2025-04-07 21:14:39,21.48,76.09,95.28,"
Taskmgr.exe (PID: 5548) - 5.61% | 
explorer.exe (PID: 11268) - 4.05% | 
chrome.exe (PID: 3632) - 3.43% | 
chrome.exe (PID: 14824) - 2.80% | 
Code.exe (PID: 15464) - 2.18%"
2025-04-07 21:14:44,11.98,75.98,95.28,"
chrome.exe (PID: 14824) - 3.42% | 
Taskmgr.exe (PID: 5548) - 3.42% | 
chrome.exe (PID: 3632) - 3.11% | 
chrome.exe (PID: 10672) - 2.49% | 
Visualizador-Metricas-Sistema.exe (PID: 13140) - 0.93%"
2025-04-07 21:14:49,16.52,75.78,95.28,"
chrome.exe (PID: 10672) - 4.97% | 
chrome.exe (PID: 14824) - 4.67% | 
Taskmgr.exe (PID: 5548) - 3.74% | 
chrome.exe (PID: 3632) - 3.74% | 
notepad++.exe (PID: 14764) - 0.31%"
2025-04-07 21:14:54,17.45,75.87,95.28,"
chrome.exe (PID: 3632) - 4.98% | 
chrome.exe (PID: 14824) - 4.36% | 
chrome.exe (PID: 10672) - 4.05% | 
Taskmgr.exe (PID: 5548) - 2.18% | 
Code.exe (PID: 12396) - 0.62%"
2025-04-07 21:14:59,13.59,75.86,95.28,"
chrome.exe (PID: 14824) - 4.05% | 
Taskmgr.exe (PID: 5548) - 2.18% | 
chrome.exe (PID: 3632) - 2.18% | 
chrome.exe (PID: 10672) - 1.56% | 
TranslucentTB.exe (PID: 14716) - 0.62%"
2025-04-07 21:15:04,27.18,76.46,95.28,"
Code.exe (PID: 15464) - 6.85% | 
chrome.exe (PID: 3632) - 5.92% | 
chrome.exe (PID: 14824) - 5.61% | 
Taskmgr.exe (PID: 5548) - 3.42% | 
Code.exe (PID: 12300) - 2.18%"
2025-04-07 21:15:09,27.35,76.98,95.28,"
Code.exe (PID: 15464) - 7.76% | 
chrome.exe (PID: 16708) - 5.92% | 
Taskmgr.exe (PID: 5548) - 3.42% | 
Code.exe (PID: 12396) - 2.80% | 
chrome.exe (PID: 3632) - 1.86%"
2025-04-07 21:15:14,20.41,76.37,95.28,"
Code.exe (PID: 15464) - 13.08% | 
Taskmgr.exe (PID: 5548) - 4.67% | 
Code.exe (PID: 12396) - 3.12% | 
Code.exe (PID: 12300) - 2.49% | 
TranslucentTB.exe (PID: 14716) - 0.93%"
2025-04-07 21:15:19,13.64,76.13,95.28,"
Taskmgr.exe (PID: 5548) - 4.05% | 
Code.exe (PID: 12300) - 3.43% | 
Code.exe (PID: 15464) - 3.43% | 
Code.exe (PID: 12396) - 1.25% | 
Code.exe (PID: 11504) - 0.62%"
2025-04-07 21:15:24,9.86,76.01,95.28,"
Taskmgr.exe (PID: 5548) - 3.73% | 
Code.exe (PID: 11076) - 1.86% | 
Code.exe (PID: 15464) - 1.55% | 
Code.exe (PID: 12300) - 0.93% | 
chrome.exe (PID: 5236) - 0.62%"
2025-04-07 21:15:29,16.39,76.00,95.28,"
Code.exe (PID: 12300) - 4.98% | 
Code.exe (PID: 15464) - 4.36% | 
Taskmgr.exe (PID: 5548) - 2.49% | 
TranslucentTB.exe (PID: 14716) - 0.93% | 
chrome.exe (PID: 3632) - 0.93%"
2025-04-07 21:15:34,26.58,76.64,95.28,"
Taskmgr.exe (PID: 5548) - 11.56% | 
Code.exe (PID: 15464) - 9.69% | 
explorer.exe (PID: 11268) - 5.62% | 
Code.exe (PID: 12396) - 1.25% | 
chrome.exe (PID: 3632) - 0.94%"
2025-04-07 21:15:39,10.08,76.22,95.28,"
Taskmgr.exe (PID: 5548) - 10.25% | 
explorer.exe (PID: 11268) - 0.31% | 
notepad++.exe (PID: 14764) - 0.31% | 
chrome.exe (PID: 3576) - 0.31% | 
chrome.exe (PID: 3632) - 0.31%"
2025-04-07 21:15:44,9.04,75.66,95.28,"
Taskmgr.exe (PID: 5548) - 8.72% | 
Code.exe (PID: 11076) - 1.56% | 
Code.exe (PID: 12028) - 0.62% | 
notepad++.exe (PID: 14764) - 0.31% | 
Code.exe (PID: 12300) - 0.31%"
2025-04-07 21:15:49,17.55,75.76,95.28,"
Taskmgr.exe (PID: 5548) - 6.54% | 
Code.exe (PID: 15464) - 4.67% | 
Code.exe (PID: 12396) - 3.74% | 
Code.exe (PID: 4344) - 2.18% | 
Code.exe (PID: 12300) - 2.18%"
2025-04-07 21:19:02,36.45,74.61,95.28,"
svchost.exe (PID: 4636) - 0.00% | 13500416% | 
AsusSoftwareManagerAgent.exe (PID: 15920) - 0.00% | 14802944% | 
SearchProtocolHost.exe (PID: 8452) - 0.00% | 14905344% | 
chrome.exe (PID: 15712) - 0.00% | 219201536% | 
RtkAudUService64.exe (PID: 4992) - 0.00% | 13914112%"
2025-04-07 21:19:07,10.08,74.56,95.28,"
Taskmgr.exe (PID: 5548) - 4.05% | 155451392% | 
notepad++.exe (PID: 14764) - 0.93% | 66617344% | 
Code.exe (PID: 4344) - 0.93% | 147193856% | 
Code.exe (PID: 12300) - 0.31% | 104873984% | 
explorer.exe (PID: 11268) - 0.31% | 267792384%"
2025-04-07 21:19:12,14.11,74.63,95.28,"
Code.exe (PID: 15464) - 3.43% | 281063424% | 
Taskmgr.exe (PID: 5548) - 3.12% | 155451392% | 
Code.exe (PID: 12396) - 2.18% | 141676544% | 
Code.exe (PID: 12300) - 0.94% | 104984576% | 
Code.exe (PID: 4344) - 0.94% | 147214336%"
2025-04-07 21:19:17,13.00,74.63,95.28,"
Code.exe (PID: 15464) - 5.60% | 281559040% | 
Taskmgr.exe (PID: 5548) - 4.05% | 155451392% | 
Code.exe (PID: 12396) - 1.56% | 143372288% | 
Code.exe (PID: 12300) - 0.93% | 104960000% | 
Code.exe (PID: 12028) - 0.31% | 71249920%"
